run,type,max,min,median,mean,stddev
48,firm,45237044.30835974,-9676.415937537939,2335995.98616207,4892620.573239796,8324142.8739856025
49,agent,-94335.28484772611,-426422.17076747987,-282044.7695569977,-273504.854039891,85628.39899083151
49,firm,146592805.54845098,5904821.818024484,6850681.694844889,30448754.312763512,41809835.49339426
50,agent,-516096.2899238879,-2184143.376724131,-930642.7182736945,-1053740.5816228865,448254.70543552475
50,firm,48339750.83025539,-31852.780970314234,5276630.847089073,10693945.6038743,12896380.0227719
51,agent,-258131.13305455836,-876404.8594015784,-426195.1464096765,-472929.8251391286,209660.3995270454
51,firm,146478091.65257442,-5791.932223040872,5955710.539044622,15434009.590316424,28382478.553858783
52,agent,-1443882.8095035497,-3220981.3277298245,-2039701.055839284,-2101721.5876649893,505239.77377835097
52,firm,101151927.00587443,-29623.264747715046,1740706.5711995244,21615201.29766499,39811239.90818902
53,agent,-656045.183750029,-2180238.0242733383,-1199241.011684251,-1295129.7071953819,494516.0871680555
53,firm,200290966.9502588,14643.081576408951,2307464.8071249984,21488162.98799758,45704725.805115625
54,agent,-358633.6017190253,-1023150.7464675631,-622326.0305954772,-597147.947509592,198282.69267883527
54,firm,40222680.72334164,827.086476919787,2056453.983187488,5833566.005614208,9129279.165922914
55,agent,-210592.24548832123,-600740.5239903391,-398865.96849433484,-399839.9954663361,118959.54508782543
55,firm,105496339.37999721,1876392.706632533,11638046.683395572,22282557.92975742,30079530.234860204
56,agent,-267627.07914250565,-819465.4677101222,-562861.0741311817,-547319.2727364625,167529.1970203292
56,firm,117132285.86870266,11078.05798325269,8055581.606197091,16640116.163638994,22685590.100907855
57,agent,-90108.73840648272,-193397.3984443325,-138297.8942439322,-134239.5138790566,30461.78979302517
57,firm,168666668.8252809,2644738.8975259974,32530736.141279828,57766444.34839863,54304195.5233941
58,agent,-231322.31530240914,-478510.76076708303,-363396.9743942801,-368813.5443751783,77739.82949122327
58,firm,51598753.51727773,-18710.002835751642,2235844.6225292142,6577046.405042634,11424037.839728259
59,agent,-44409.185625916994,-142570.42159398206,-83099.7037689792,-88935.0105221316,30514.128702178008
59,firm,76818283.27862555,623838.9745196686,9537895.272580378,23460522.79072482,28350070.99992272
