run,type,max,min,median,mean,stddev
12,agent,34238016.307574786,414639.6928022076,8041241.285722364,9694367.702695258,8881116.168750236
12,firm,165781614.24831,65505457.380925626,119366886.5105236,118609493.3973048,28540931.89600374
13,agent,18521063.82864273,652487.0998382912,5655829.6701733805,7210689.0097716,5909188.780018185
13,firm,143453915.68529934,72722565.96965642,98382087.66311346,105782080.99022841,25457268.890928574
14,agent,47645727.94336005,6467851.556304766,19602179.29433804,21936845.468275398,13463582.103220468
14,firm,202901826.8769948,120861938.04625753,175444908.8632115,171868958.9317246,25741380.56456438
15,agent,27315492.28650758,1663139.7410123846,12094001.807673475,14134647.79467607,8630219.532677254
15,firm,167090704.54849243,49440895.522670254,107735169.52661374,111895582.20532393,30451942.104439493
16,agent,48728083.911998875,-240414.48845422268,19284402.659783497,20690336.200133298,15795082.86761477
16,firm,171892861.84939495,92801905.32802315,139562253.4399119,136190219.9998667,22212677.560425498
17,agent,23492338.510022465,-259837.44879639626,7093059.91324931,9121623.569693612,6688525.864307528
17,firm,164026799.13219637,72508235.52030025,101715538.43694201,109464420.73030639,31535155.979182817
18,agent,33285341.050548322,-2904576.279942855,11075526.147366988,13367940.204987282,11921128.776642947
18,firm,214782416.55015314,104843288.86321332,157273404.48166946,156481077.89501268,35270177.19382621
19,agent,31155894.986378703,1129930.415192825,14732829.244109262,15865720.37472013,10559442.352661982
19,firm,180634678.2634144,83850402.33296065,128226141.76518816,128896974.22527985,24371556.516316712
20,agent,53051930.898493834,1147771.2178593897,21968043.460918285,23235101.697864108,16206337.191870293
20,firm,225028298.21096063,138043263.20920637,192841886.88582158,189271436.80213585,32244346.857061632
21,agent,32085340.792419456,1295625.8569586682,22659832.28255032,19790911.650010023,10678207.29160565
21,firm,181471493.32239395,75854777.21993576,107183071.86999816,119105999.04998997,36315631.42429046
22,agent,33420938.537529543,343044.1311238162,11195372.061532073,13638687.057170164,10131227.14625789
22,firm,171171115.35595787,91110035.03660068,111746900.86832212,118049424.54282984,23770789.82677936
23,agent,29111821.363137934,4076419.7712962027,11063154.022566386,12922648.671888152,7899344.377159032
23,firm,220234883.53570837,89989947.16712318,136421471.07468882,141373031.7281119,44035343.71620672
24,agent,45067755.705788955,-147452.0244936248,13555132.32055545,15923241.345725039,13149577.69615058
24,firm,274144365.4200041,126235605.28080292,189981604.62755543,192780851.55427498,39976995.8405364
25,agent,28653022.111015663,-401687.1517931806,10925541.412860263,11737570.58817165,10182559.155212138
25,firm,156328077.384489,56859093.39156953,97719178.47042832,103396878.21182837,30447626.3554
26,agent,47230174.8470757,1521133.3610421051,13795808.282710575,18532537.557106473,15193613.780053254
26,firm,188694327.30586612,90148472.93222849,144715060.96100795,137985837.04289356,38369083.86699399
27,agent,20291092.74760369,5966854.217920403,9495873.12538387,10791435.549027365,4748429.768024245
27,firm,153694181.38816875,86770430.54966992,127857950.91944277,121699695.15097263,20800034.430405095
28,agent,38280561.029540524,7155228.473462979,11379530.600305399,18129265.894191723,12122708.674881382
28,firm,198289637.27191642,100219007.81546782,161646554.3258627,151014872.00580826,39235030.862056956
29,agent,21601107.374261353,-1079563.784825255,7833554.0974798035,8905100.42719819,7186912.245982424
29,firm,157294835.0826342,65051209.31609989,111868892.0321765,111714776.5728018,27317032.811716557
30,agent,11036204.451726748,1577399.186255827,3578233.725225169,5399025.652014205,3385042.488046319
30,firm,144044860.55303156,55948492.61354009,95672131.32979098,95145384.7479858,26263062.89481192
31,agent,44331454.97857286,5954222.094309659,20934858.87027268,22846700.331844572,14363700.640727127
31,firm,199075309.08186746,63966459.87847548,131416707.5563081,136926860.56815547,43860057.642626174
32,agent,31543643.03934646,2011118.1451242694,11031640.820467109,14108257.987751067,10979097.424871225
32,firm,155508819.46223593,66042144.53986708,89072073.8661122,91468346.31224892,24723814.713031124
33,agent,81207750.10608046,186554.47582089063,13302684.664792154,19259816.188272227,22390838.454623993
33,firm,258727941.40979978,100936280.43450566,187064648.07665068,178135761.8117278,44927417.036947675
34,agent,42391556.08742325,335692.1848622238,13031280.56490139,14456245.984507445,13681536.911052883
34,firm,161765668.02311844,49593762.477809764,105836092.5812203,106611356.41549253,29656965.07868963
35,agent,55121248.51667255,7542937.413756462,22144610.75389899,25206016.300250966,12850160.085179297
35,firm,200530746.89885205,85355060.00384517,162633796.33281776,149561764.99974903,38413153.38553211
36,agent,56657960.76873097,2873384.1073486484,18474409.7653873,22551366.63159474,17780400.238141105
36,firm,194893559.53177702,87480681.54768455,125240736.26076391,127927006.66840525,34602776.87064355
37,agent,27868706.5854101,1156992.7438202333,7428186.786319816,10071279.81524267,7872524.918759006
